flight_id,airline,source,destination,departure_time,arrival_time,duration
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41,2026-04-20 18:09:41,01:41:00
UK224,Vistara,CCU,MAA,2026-04-20 16:25:41,2026-04-20 20:24:41,03:59:00
UK077,Vistara,HYD,BOM,2026-04-20 16:22:41,2026-04-20 18:00:41,01:38:00
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41,2026-04-20 17:36:41,01:15:00
AI221,Air India,MAA,HYD,2026-04-20 16:18:41,2026-04-20 18:54:41,02:36:00
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41,2026-04-20 17:06:42,01:00:00.298000
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41,2026-04-20 19:50:41,04:12:00
AI072,Air India,BLR,CCU,2026-04-20 15:34:41,2026-04-20 16:32:41,00:58:00
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41,2026-04-20 19:39:41,04:06:00
SJ150,SpiceJet,BOM,HYD,2026-04-20 15:33:41,2026-04-20 19:03:41,03:30:00
6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41,2026-04-20 16:49:41,01:17:00
6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41,2026-04-20 17:12:41,01:46:00
6F017,IndiGo,CCU,BOM,2026-04-20 15:25:41,2026-04-20 18:06:41,02:41:00
6F245,IndiGo,CCU,BOM,2026-04-20 15:25:41,2026-04-20 18:06:41,02:41:00
6F180,IndiGo,MAA,BLR,2026-04-20 15:24:41,2026-04-20 19:48:41,04:24:00
6F152,IndiGo,CCU,DEL,2026-04-20 15:21:41,2026-04-20 17:25:41,02:04:00
SJ034,SpiceJet,MAA,BOM,2026-04-20 15:20:41,2026-04-20 20:11:41,04:51:00
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41,2026-04-20 16:56:41,01:42:00
UK189,Vistara,BLR,MAA,2026-04-20 15:07:41,2026-04-20 18:51:41,03:44:00
SJ044,SpiceJet,DEL,CCU,2026-04-20 15:06:41,2026-04-20 17:43:41,02:37:00
SJ196,SpiceJet,DEL,HYD,2026-04-20 14:58:41,2026-04-20 17:44:41,02:46:00
6F188,IndiGo,DEL,HYD,2026-04-20 14:57:41,2026-04-20 19:39:41,04:42:00
6F181,IndiGo,BOM,MAA,2026-04-20 14:55:41,2026-04-20 16:43:41,01:48:00
6F077,IndiGo,CCU,DEL,2026-04-20 14:55:41,2026-04-20 19:13:41,04:18:00
SJ154,SpiceJet,BLR,HYD,2026-04-20 14:47:41,2026-04-20 16:26:41,01:39:00
AI025,Air India,HYD,DEL,2026-04-20 14:46:41,2026-04-20 17:11:41,02:25:00
AI094,Air India,DEL,BLR,2026-04-20 14:44:41,2026-04-20 15:44:42,01:00:00.298000
6F191,IndiGo,BLR,DEL,2026-04-20 14:41:41,2026-04-20 15:11:41,00:30:00
SJ085,SpiceJet,BLR,MAA,2026-04-20 14:41:41,2026-04-20 19:11:41,04:30:00
6F261,IndiGo,CCU,DEL,2026-04-20 14:31:41,2026-04-20 17:29:41,02:58:00
6F129,IndiGo,DEL,CCU,2026-04-20 14:28:41,2026-04-20 16:47:41,02:19:00
6F254,IndiGo,MAA,BLR,2026-04-20 14:26:41,2026-04-20 18:01:41,03:35:00
SJ185,SpiceJet,BOM,CCU,2026-04-20 14:21:41,2026-04-20 15:21:41,01:00:00
6F030,IndiGo,BOM,DEL,2026-04-20 14:20:41,2026-04-20 17:10:41,02:50:00
SJ222,SpiceJet,BOM,DEL,2026-04-20 14:15:41,2026-04-20 17:09:41,02:54:00
6F259,IndiGo,BOM,DEL,2026-04-20 14:10:41,2026-04-20 15:21:41,01:11:00
UK083,Vistara,DEL,HYD,2026-04-20 14:10:41,2026-04-20 14:59:41,00:49:00
6F051,IndiGo,BLR,BOM,2026-04-20 13:58:41,2026-04-20 15:58:41,02:00:00
SJ088,SpiceJet,CCU,MAA,2026-04-20 13:54:41,2026-04-20 14:26:41,00:32:00
6F146,IndiGo,HYD,MAA,2026-04-20 13:51:41,2026-04-20 15:07:41,01:16:00
6F047,IndiGo,MAA,DEL,2026-04-20 13:50:41,2026-04-20 15:55:41,02:05:00
AI077,Air India,CCU,HYD,2026-04-20 13:45:41,2026-04-20 14:51:41,01:06:00
UK134,Vistara,HYD,CCU,2026-04-20 13:44:41,2026-04-20 17:26:41,03:42:00
AI056,Air India,DEL,MAA,2026-04-20 13:44:41,2026-04-20 17:39:41,03:55:00
UK141,Vistara,HYD,MAA,2026-04-20 13:38:41,2026-04-20 15:59:41,02:21:00
AI030,Air India,CCU,HYD,2026-04-20 13:33:41,2026-04-20 16:52:41,03:19:00
AI029,Air India,MAA,DEL,2026-04-20 13:29:41,2026-04-20 17:53:41,04:24:00
SJ167,SpiceJet,MAA,CCU,2026-04-20 13:18:41,2026-04-20 14:12:41,00:54:00
UK017,Vistara,BLR,HYD,2026-04-20 13:14:41,2026-04-20 14:49:41,01:35:00
6F229,IndiGo,MAA,DEL,2026-04-20 13:10:41,2026-04-20 14:30:41,01:20:00
SJ117,SpiceJet,MAA,BLR,2026-04-20 13:10:41,2026-04-20 17:06:41,03:56:00
6F184,IndiGo,MAA,BOM,2026-04-20 13:05:41,2026-04-20 16:04:41,02:59:00
AI031,Air India,DEL,MAA,2026-04-20 13:05:41,2026-04-20 16:11:41,03:06:00
AI178,Air India,CCU,BLR,2026-04-20 13:04:41,2026-04-20 14:03:41,00:59:00
SJ089,SpiceJet,HYD,CCU,2026-04-20 12:42:41,2026-04-20 17:15:41,04:33:00
UK166,Vistara,HYD,MAA,2026-04-20 12:39:41,2026-04-20 17:32:41,04:53:00
UK104,Vistara,DEL,BOM,2026-04-20 12:30:41,2026-04-20 13:52:41,01:22:00
6F168,IndiGo,HYD,DEL,2026-04-20 12:18:41,2026-04-20 15:58:41,03:40:00
AI222,Air India,BOM,DEL,2026-04-20 12:10:41,2026-04-20 13:14:41,01:04:00
SJ025,SpiceJet,BOM,CCU,2026-04-20 12:02:41,2026-04-20 15:29:41,03:27:00
6F255,IndiGo,DEL,BOM,2026-04-20 11:59:41,2026-04-20 15:33:41,03:34:00
UK228,Vistara,DEL,MAA,2026-04-20 11:58:41,2026-04-20 15:08:41,03:10:00
6F158,IndiGo,CCU,MAA,2026-04-20 11:58:41,2026-04-20 16:04:41,04:06:00
SJ218,SpiceJet,DEL,HYD,2026-04-20 11:58:41,2026-04-20 15:03:41,03:05:00
6F034,IndiGo,BOM,DEL,2026-04-20 11:53:41,2026-04-20 12:49:41,00:56:00
UK156,Vistara,MAA,BLR,2026-04-20 11:50:41,2026-04-20 15:54:41,04:04:00
6F105,IndiGo,BLR,BOM,2026-04-20 11:46:41,2026-04-20 12:58:41,01:12:00
6F073,IndiGo,DEL,CCU,2026-04-20 11:38:41,2026-04-20 15:18:41,03:40:00
SJ074,SpiceJet,DEL,CCU,2026-04-20 11:21:41,2026-04-20 12:02:41,00:41:00
6F234,IndiGo,BOM,DEL,2026-04-20 11:20:41,2026-04-20 14:11:41,02:51:00
6F068,IndiGo,BLR,HYD,2026-04-20 11:17:41,2026-04-20 15:06:41,03:49:00
6F074,IndiGo,HYD,BOM,2026-04-20 11:09:41,2026-04-20 14:29:41,03:20:00
AI038,Air India,HYD,MAA,2026-04-20 11:05:41,2026-04-20 15:44:41,04:39:00
AI079,Air India,CCU,BLR,2026-04-20 11:04:41,2026-04-20 13:19:41,02:15:00
SJ018,SpiceJet,BOM,CCU,2026-04-20 10:58:41,2026-04-20 13:31:41,02:33:00
6F018,IndiGo,DEL,BLR,2026-04-20 10:57:41,2026-04-20 11:43:41,00:46:00
AI091,Air India,CCU,MAA,2026-04-20 10:52:41,2026-04-20 15:15:41,04:23:00
UK071,Vistara,DEL,HYD,2026-04-20 10:50:41,2026-04-20 14:06:41,03:16:00
AI019,Air India,BOM,CCU,2026-04-20 10:49:41,2026-04-20 11:51:41,01:02:00
UK212,Vistara,HYD,MAA,2026-04-20 10:46:41,2026-04-20 11:31:41,00:45:00
AI146,Air India,BLR,DEL,2026-04-20 10:40:41,2026-04-20 13:46:41,03:06:00
6F232,IndiGo,MAA,BLR,2026-04-20 10:39:41,2026-04-20 12:22:41,01:43:00
6F084,IndiGo,CCU,HYD,2026-04-20 10:34:41,2026-04-20 11:34:42,01:00:00.298000
AI129,Air India,BOM,CCU,2026-04-20 10:29:41,2026-04-20 13:38:41,03:09:00
AI240,Air India,MAA,DEL,2026-04-20 10:19:41,2026-04-20 12:46:41,02:27:00
6F091,IndiGo,BLR,CCU,2026-04-20 10:10:41,2026-04-20 11:36:41,01:26:00
UK133,Vistara,BOM,DEL,2026-04-20 10:04:41,2026-04-20 13:16:41,03:12:00
SJ007,SpiceJet,BOM,CCU,2026-04-20 10:03:41,2026-04-20 14:53:41,04:50:00
SJ141,SpiceJet,CCU,DEL,2026-04-20 10:00:41,2026-04-20 13:37:41,03:37:00
6F049,IndiGo,HYD,DEL,2026-04-20 10:00:41,2026-04-20 13:13:41,03:13:00
SJ235,SpiceJet,BOM,DEL,2026-04-20 09:57:41,2026-04-20 13:45:41,03:48:00
UK087,Vistara,HYD,MAA,2026-04-20 09:49:41,2026-04-20 13:17:41,03:28:00
UK170,Vistara,BOM,BLR,2026-04-20 09:42:41,2026-04-20 11:32:41,01:50:00
SJ078,SpiceJet,DEL,HYD,2026-04-20 09:41:41,2026-04-20 12:49:41,03:08:00
SJ075,SpiceJet,MAA,BLR,2026-04-20 09:26:41,2026-04-20 11:03:41,01:37:00
AI159,Air India,HYD,BLR,2026-04-20 09:23:41,2026-04-20 11:36:41,02:13:00
UK120,Vistara,HYD,DEL,2026-04-20 09:19:41,2026-04-20 13:30:41,04:11:00
AI059,Air India,CCU,DEL,2026-04-20 09:16:41,2026-04-20 11:43:41,02:27:00
UK040,Vistara,HYD,CCU,2026-04-20 09:15:41,2026-04-20 10:32:41,01:17:00
AI044,Air India,MAA,BLR,2026-04-20 09:03:41,2026-04-20 12:36:41,03:33:00
AI078,Air India,DEL,BOM,2026-04-20 08:58:41,2026-04-20 13:28:41,04:30:00
SJ226,SpiceJet,HYD,BOM,2026-04-20 08:47:41,2026-04-20 12:54:41,04:07:00
6F209,IndiGo,MAA,CCU,2026-04-20 08:40:41,2026-04-20 13:40:41,05:00:00
UK193,Vistara,HYD,DEL,2026-04-20 08:39:41,2026-04-20 09:14:41,00:35:00
6F092,IndiGo,MAA,BLR,2026-04-20 08:39:41,2026-04-20 09:15:41,00:36:00
AI208,Air India,BLR,BOM,2026-04-20 08:38:41,2026-04-20 11:52:41,03:14:00
SJ227,SpiceJet,BOM,CCU,2026-04-20 08:32:41,2026-04-20 12:53:41,04:21:00
6F238,IndiGo,BOM,DEL,2026-04-20 08:31:41,2026-04-20 09:19:41,00:48:00
AI084,Air India,BOM,HYD,2026-04-20 08:31:41,2026-04-20 09:46:41,01:15:00
SJ228,SpiceJet,BOM,CCU,2026-04-20 08:29:41,2026-04-20 12:16:41,03:47:00
UK194,Vistara,CCU,BOM,2026-04-20 08:26:41,2026-04-20 09:26:42,01:00:00.297000
6F126,IndiGo,CCU,MAA,2026-04-20 08:21:41,2026-04-20 09:39:41,01:18:00
SJ052,SpiceJet,MAA,BLR,2026-04-20 08:20:41,2026-04-20 09:57:41,01:37:00
AI233,Air India,BLR,BOM,2026-04-20 08:04:41,2026-04-20 09:52:41,01:48:00
AI213,Air India,HYD,CCU,2026-04-20 08:03:41,2026-04-20 09:14:41,01:11:00
UK076,Vistara,MAA,CCU,2026-04-20 08:03:41,2026-04-20 12:26:41,04:23:00
SJ022,SpiceJet,DEL,BLR,2026-04-20 07:56:41,2026-04-20 11:07:41,03:11:00
SJ002,SpiceJet,DEL,BOM,2026-04-20 07:54:41,2026-04-20 12:40:41,04:46:00
AI163,Air India,HYD,MAA,2026-04-20 07:45:41,2026-04-20 08:46:41,01:01:00
UK229,Vistara,HYD,DEL,2026-04-20 07:40:41,2026-04-20 11:57:41,04:17:00
UK185,Vistara,DEL,MAA,2026-04-20 07:31:41,2026-04-20 08:48:41,01:17:00
6F029,IndiGo,BOM,BLR,2026-04-20 07:31:41,2026-04-20 11:45:41,04:14:00
6F056,IndiGo,BOM,MAA,2026-04-20 07:00:41,2026-04-20 08:49:41,01:49:00
AI062,Air India,MAA,DEL,2026-04-20 06:49:41,2026-04-20 07:25:41,00:36:00
UK034,Vistara,DEL,BLR,2026-04-20 06:47:41,2026-04-20 10:11:41,03:24:00
UK079,Vistara,DEL,BLR,2026-04-20 06:43:41,2026-04-20 10:34:41,03:51:00
AI135,Air India,BLR,BOM,2026-04-20 06:40:41,2026-04-20 09:21:41,02:41:00
SJ061,SpiceJet,MAA,BLR,2026-04-20 06:38:41,2026-04-20 09:35:41,02:57:00
AI047,Air India,CCU,MAA,2026-04-20 06:36:41,2026-04-20 07:23:41,00:47:00
UK210,Vistara,DEL,CCU,2026-04-20 06:35:41,2026-04-20 07:30:41,00:55:00
AI088,Air India,MAA,DEL,2026-04-20 06:34:41,2026-04-20 10:10:41,03:36:00
UK177,Vistara,DEL,HYD,2026-04-20 06:21:41,2026-04-20 10:50:41,04:29:00
AI128,Air India,BOM,CCU,2026-04-20 06:07:41,2026-04-20 10:03:41,03:56:00
AI158,Air India,CCU,DEL,2026-04-20 06:04:41,2026-04-20 09:01:41,02:57:00
UK206,Vistara,MAA,BLR,2026-04-20 06:01:41,2026-04-20 10:34:41,04:33:00
SJ138,SpiceJet,BLR,BOM,2026-04-20 05:55:41,2026-04-20 06:43:41,00:48:00
AI034,Air India,DEL,BOM,2026-04-20 05:48:41,2026-04-20 10:31:41,04:43:00
AI012,Air India,BOM,CCU,2026-04-20 05:44:41,2026-04-20 09:47:41,04:03:00
6F083,IndiGo,BLR,DEL,2026-04-20 05:24:41,2026-04-20 06:03:41,00:39:00
SJ083,SpiceJet,MAA,BLR,2026-04-20 05:13:41,2026-04-20 08:17:41,03:04:00
SJ186,SpiceJet,CCU,DEL,2026-04-20 05:11:41,2026-04-20 07:22:41,02:11:00
UK001,Vistara,CCU,DEL,2026-04-20 05:06:41,2026-04-20 06:31:41,01:25:00
AI217,Air India,CCU,BLR,2026-04-20 04:57:41,2026-04-20 07:14:41,02:17:00
6F178,IndiGo,BOM,CCU,2026-04-20 04:48:41,2026-04-20 09:11:41,04:23:00
UK015,Vistara,BLR,BOM,2026-04-20 04:46:41,2026-04-20 06:33:41,01:47:00
AI112,Air India,DEL,BLR,2026-04-20 04:41:41,2026-04-20 08:24:41,03:43:00
UK100,Vistara,CCU,BLR,2026-04-20 04:40:41,2026-04-20 07:12:41,02:32:00
6F133,IndiGo,MAA,BLR,2026-04-20 04:38:41,2026-04-20 06:25:41,01:47:00
AI227,Air India,BLR,MAA,2026-04-20 04:31:41,2026-04-20 08:17:41,03:46:00
UK093,Vistara,HYD,CCU,2026-04-20 04:31:41,2026-04-20 05:21:41,00:50:00
UK203,Vistara,BLR,HYD,2026-04-20 04:12:41,2026-04-20 05:24:41,01:12:00
UK154,Vistara,MAA,HYD,2026-04-20 04:00:41,2026-04-20 07:57:41,03:57:00
UK073,Vistara,BLR,CCU,2026-04-20 03:59:41,2026-04-20 08:09:41,04:10:00
AI164,Air India,DEL,BLR,2026-04-20 03:57:41,2026-04-20 05:45:41,01:48:00
UK008,Vistara,CCU,BLR,2026-04-20 03:57:41,2026-04-20 04:34:41,00:37:00
UK051,Vistara,HYD,DEL,2026-04-20 03:55:41,2026-04-20 06:55:41,03:00:00
UK208,Vistara,DEL,CCU,2026-04-20 03:54:41,2026-04-20 08:51:41,04:57:00
AI150,Air India,BOM,DEL,2026-04-20 03:51:41,2026-04-20 04:38:41,00:47:00
AI189,Air India,CCU,DEL,2026-04-20 03:44:41,2026-04-20 05:32:41,01:48:00
6F230,IndiGo,CCU,BLR,2026-04-20 03:34:41,2026-04-20 06:47:41,03:13:00
6F169,IndiGo,BOM,DEL,2026-04-20 03:27:41,2026-04-20 08:06:41,04:39:00
AI205,Air India,BLR,BOM,2026-04-20 03:26:41,2026-04-20 05:14:41,01:48:00
AI103,Air India,BLR,BOM,2026-04-20 03:26:41,2026-04-20 04:04:41,00:38:00
6F250,IndiGo,DEL,BLR,2026-04-20 03:26:41,2026-04-20 07:30:41,04:04:00
AI246,Air India,BOM,BLR,2026-04-20 03:22:41,2026-04-20 06:41:41,03:19:00
6F187,IndiGo,BOM,MAA,2026-04-20 03:19:41,2026-04-20 07:37:41,04:18:00
AI082,Air India,DEL,CCU,2026-04-20 03:19:41,2026-04-20 06:01:41,02:42:00
UK116,Vistara,CCU,BOM,2026-04-20 03:18:41,2026-04-20 07:06:41,03:48:00
SJ169,SpiceJet,BOM,MAA,2026-04-20 03:10:41,2026-04-20 07:56:41,04:46:00
AI175,Air India,BOM,HYD,2026-04-20 03:08:41,2026-04-20 06:55:41,03:47:00
SJ098,SpiceJet,HYD,MAA,2026-04-20 03:02:41,2026-04-20 03:37:41,00:35:00
SJ191,SpiceJet,BLR,BOM,2026-04-20 03:01:41,2026-04-20 04:23:41,01:22:00
SJ017,SpiceJet,DEL,MAA,2026-04-20 02:57:41,2026-04-20 05:00:41,02:03:00
UK188,Vistara,MAA,BLR,2026-04-20 02:55:41,2026-04-20 03:44:41,00:49:00
AI196,Air India,MAA,HYD,2026-04-20 02:52:41,2026-04-20 04:25:41,01:33:00
AI068,Air India,BOM,BLR,2026-04-20 02:48:41,2026-04-20 04:48:42,02:00:00.298000
SJ097,SpiceJet,BOM,CCU,2026-04-20 02:37:41,2026-04-20 05:27:41,02:50:00
SJ030,SpiceJet,DEL,HYD,2026-04-20 02:36:41,2026-04-20 03:19:41,00:43:00
6F179,IndiGo,HYD,MAA,2026-04-20 02:25:41,2026-04-20 06:40:41,04:15:00
6F156,IndiGo,MAA,BOM,2026-04-20 02:23:41,2026-04-20 04:57:41,02:34:00
SJ057,SpiceJet,BOM,CCU,2026-04-20 02:17:41,2026-04-20 05:29:41,03:12:00
6F036,IndiGo,CCU,BLR,2026-04-20 02:14:41,2026-04-20 06:57:41,04:43:00
6F201,IndiGo,CCU,BOM,2026-04-20 02:09:41,2026-04-20 06:49:41,04:40:00
6F143,IndiGo,CCU,DEL,2026-04-20 02:09:41,2026-04-20 06:08:41,03:59:00
6F177,IndiGo,HYD,MAA,2026-04-20 02:03:41,2026-04-20 04:25:41,02:22:00
6F031,IndiGo,BOM,BLR,2026-04-20 02:00:41,2026-04-20 06:37:41,04:37:00
UK165,Vistara,DEL,BLR,2026-04-20 01:51:41,2026-04-20 06:04:41,04:13:00
6F122,IndiGo,DEL,BLR,2026-04-20 01:44:41,2026-04-20 05:28:41,03:44:00
AI009,Air India,DEL,CCU,2026-04-20 01:31:41,2026-04-20 04:05:41,02:34:00
6F046,IndiGo,DEL,BLR,2026-04-20 01:27:41,2026-04-20 05:08:41,03:41:00
AI051,Air India,MAA,BLR,2026-04-20 01:27:41,2026-04-20 02:22:41,00:55:00
UK222,Vistara,BOM,CCU,2026-04-20 01:22:41,2026-04-20 02:57:41,01:35:00
SJ127,SpiceJet,BOM,DEL,2026-04-20 01:21:41,2026-04-20 03:58:41,02:37:00
